 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -3.0229 1.1287 0.0233 -5.1935 -0.876 2275.1999 0.9998
w_n_t_1 0.2782 0.2503 0.0043 -0.1908 0.7924 3530.7358 0.9997
w_a_t_1 0.0671 0.2525 0.0041 -0.4338 0.542 4147.3172 0.9997
w_d_t_1 -13.9101 1020.1419 15.6939 -2052.5571 1897.1669 3846.0399 1.0001
w_c_t_1 2.11 2.1014 0.0495 -2.026 6.1222 1849.4684 0.9997
y_c_t_1 1.9698 1.8523 0.0383 -1.6732 5.425 2407.5089 0.9997
Node 1.2142 0.4863 0.0078 0.2672 2.1629 3776.9562 1.0001
Under_Supply 0.0907 1.1647 0.0235 -2.3969 2.1789 1914.7542 1.0004
Flow -3.5868 1.3841 0.0265 -6.2636 -0.7977 2174.8555 0.9997
Arc -0.0441 0.3242 0.0048 -0.692 0.5519 3762.0333 0.9998
