 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -16.3348 5.3365 0.1226 -27.0552 -6.509 1449.2042 1.0016
w_n_t_1 3.504 1.9017 0.0392 -0.0834 7.3259 2079.7513 0.9998
w_a_t_1 3.8959 1.2586 0.0283 1.4785 6.2741 2113.5756 0.9997
w_d_t_1 -52.5189 1010.5607 21.1363 -2117.7711 1858.5059 2446.1315 0.9998
w_c_t_1 15.5963 7.5073 0.1738 2.0231 30.6607 1514.1771 1.0013
y_c_t_1 -3.1556 6.1967 0.1541 -15.5488 8.7566 1714.0871 1.0
Node 2.3312 2.2974 0.0592 -2.0622 7.0585 1391.6349 1.0003
Under_Supply -2.9695 4.4196 0.1039 -12.3159 4.9915 1439.778 0.9997
Flow -7.1063 5.6098 0.1406 -17.9127 3.9091 1296.3787 1.0
Arc -0.1746 1.0896 0.0256 -2.3379 1.9305 1554.1802 0.9997
