 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -37.7881 15.2542 0.4433 -65.2743 -6.7237 1248.5963 1.0003
w_n_t_1 0.3305 3.9584 0.0997 -7.0855 8.5222 1647.215 1.0002
w_a_t_1 -1.11 1.7824 0.0343 -4.8223 2.187 2550.8526 1.0003
w_d_t_1 -9.3122 1022.5511 19.6485 -2063.604 1945.0835 2220.128 0.9999
w_c_t_1 27.2406 15.0935 0.3764 -3.4251 55.8095 1724.9529 1.0007
y_c_t_1 17.118 11.8747 0.2795 -4.8878 40.1706 1761.8935 0.9997
Node -1.9188 3.4443 0.0716 -9.1433 4.5152 2120.496 0.9997
Under_Supply -34.2162 18.6916 0.4735 -69.0428 1.527 1611.6647 0.9998
Flow -1.0018 10.6622 0.2572 -22.8375 18.2725 1624.8091 0.9997
Arc 0.2401 1.3114 0.0269 -2.5052 2.5988 2203.1605 1.0
