 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept 1.0124 1.1712 0.0273 -1.2074 3.3148 1787.3391 0.9998
w_n_t_1 0.5632 0.4711 0.0088 -0.4139 1.4306 2589.3717 1.0002
w_a_t_1 3.5255 0.5116 0.0103 2.6261 4.6109 2371.1486 0.9997
w_d_t_1 -0.7731 0.376 0.0067 -1.5424 -0.0944 2930.3593 0.9998
w_c_t_1 2.4416 1.6178 0.0336 -0.7002 5.5477 2059.4165 0.9997
y_c_t_1 -1.9133 1.6603 0.0343 -5.0236 1.4661 2110.539 0.9997
Node -0.5041 0.8226 0.0182 -2.0616 1.1179 2102.1587 0.9997
Under_Supply -9.5529 1.7728 0.0441 -13.0148 -6.065 1362.7145 0.9997
Flow -0.9414 2.1301 0.0497 -5.0682 3.2835 1526.8358 0.9997
Arc 0.1982 0.4327 0.009 -0.6541 1.0151 2377.9936 1.002
