 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -977.2538 660.4224 62.4684 -2153.3804 5.9398 24.7708 1.0236
w_n_t_1 4.5178 2.6668 0.2277 0.1616 10.4383 38.0249 1.003
w_a_t_1 989.6433 660.6732 62.4921 9.7971 2162.7393 24.5458 1.0245
w_d_t_1 -96.474 936.7961 76.4485 -1937.2081 1685.4466 60.9998 1.0014
w_c_t_1 -14.4688 8.5223 0.8239 -32.6402 0.8415 12.8525 1.0081
y_c_t_1 -7.6115 5.4284 0.5159 -16.2555 3.7927 13.1607 1.0987
Node 1.338 2.598 0.241 -3.1578 6.7161 9.6794 0.9997
Under_Supply -21.5516 5.788 0.5638 -31.4423 -11.9646 6.2777 1.2035
Flow 4.6067 4.9006 0.4264 -5.8479 13.6393 11.8856 1.0986
Arc -1.0242 1.3536 0.1212 -3.5372 1.675 21.7319 1.0256
