,value,set,sce
1,63.0,1,13
9,14.0,1,52
11,8.0,1,55
16,10.0,1,77
20,13.0,1,85
25,15.0,2,24
31,33.0,2,44
39,20.0,2,85
42,16.0,2,95
43,25.0,3,3
45,29.0,3,14
54,9.0,3,55
55,9.0,3,66
73,8.0,4,45
74,81.0,4,46
75,7.0,4,48
80,17.0,4,78
81,7.0,4,79
88,38.0,4,92
96,40.0,5,36
98,39.0,5,55
105,33.0,6,2
107,16.0,6,16
113,12.0,6,49
121,7.0,6,89
139,17.0,7,77
155,7.0,8,22
156,20.0,8,24
163,16.0,8,53
166,26.0,8,62
167,8.0,8,67
172,7.0,8,86
180,12.0,9,38
190,17.0,9,68
196,7.0,9,92
203,17.0,10,26
213,11.0,10,78
218,24.0,10,90
235,11.0,11,60
236,11.0,11,61
238,14.0,11,66
240,10.0,11,76
242,7.0,11,90
257,15.0,12,76
258,8.0,12,78
267,12.0,13,13
278,13.0,13,63
279,26.0,13,67
280,8.0,13,73
296,10.0,14,34
299,8.0,14,45
300,7.0,14,47
302,23.0,14,51
309,50.0,14,88
322,13.0,15,25
326,50.0,15,39
330,10.0,15,55
332,7.0,15,75
336,27.0,15,93
340,8.0,16,20
341,14.0,16,23
348,27.0,16,83
351,10.0,17,7
358,8.0,17,38
363,13.0,17,55
372,8.0,17,91
374,7.0,17,95
381,75.0,18,44
382,7.0,18,45
383,7.0,18,46
385,9.0,18,60
386,10.0,18,61
387,7.0,18,63
388,35.0,18,64
394,55.0,18,95
401,90.0,19,22
404,10.0,19,32
421,21.0,20,48
425,12.0,20,65
438,8.0,21,70
446,9.0,22,13
458,13.0,22,90
460,93.0,23,5
461,9.0,23,6
463,14.0,23,19
464,10.0,23,23
469,8.0,23,47
473,30.0,23,60
476,15.0,23,73
477,12.0,23,76
483,7.0,24,19
512,21.0,25,17
515,21.0,25,26
519,18.0,25,40
527,20.0,25,80
540,32.0,26,51
541,59.0,26,53
543,11.0,26,79
548,7.0,27,2
557,16.0,27,36
558,14.0,27,37
559,12.0,27,38
576,9.0,27,86
583,23.0,28,35
593,8.0,28,72
600,12.0,29,16
602,23.0,29,38
606,53.0,29,60
611,26.0,29,76
615,17.0,29,91
617,31.0,30,3
620,80.0,30,17
627,9.0,30,50
628,8.0,30,51
633,11.0,30,79
635,67.0,30,92
638,18.0,31,21
639,7.0,31,23
640,22.0,31,26
648,28.0,31,67
649,22.0,31,78
654,9.0,32,1
665,10.0,32,35
676,12.0,32,77
682,14.0,32,92
686,15.0,33,34
704,21.0,34,28
705,8.0,34,29
713,15.0,34,58
716,8.0,34,75
721,12.0,34,95
723,39.0,35,6
724,11.0,35,8
729,25.0,35,40
731,17.0,35,59
733,21.0,35,62
744,16.0,36,5
747,19.0,36,14
748,22.0,36,15
749,8.0,36,16
760,57.0,36,85
768,27.0,37,25
769,18.0,37,42
772,34.0,37,54
795,22.0,38,58
802,46.0,39,37
805,11.0,39,49
806,46.0,39,50
813,19.0,39,85
815,13.0,39,87
819,8.0,40,16
824,14.0,40,38
828,7.0,40,54
830,28.0,40,64
832,12.0,40,68
835,32.0,40,90
841,16.0,41,32
847,13.0,41,58
849,12.0,41,73
851,26.0,41,84
856,18.0,42,16
858,24.0,42,22
865,22.0,42,55
868,10.0,42,67
874,22.0,43,2
888,9.0,43,75
889,59.0,43,77
890,7.0,43,78
905,55.0,44,60
910,14.0,44,72
931,10.0,45,58
932,8.0,45,66
933,8.0,45,68
953,13.0,46,59
973,19.0,47,58
976,31.0,47,64
978,12.0,47,80
982,11.0,47,91
989,22.0,48,50
991,101.0,48,53
993,11.0,48,65
996,18.0,48,77
999,13.0,48,90
1003,16.0,49,14
1005,9.0,49,20
1011,13.0,49,76
1014,17.0,49,92
