,value,set,sce
0,2.0,1,3
1,63.0,1,13
4,6.0,1,33
5,2.0,1,34
6,5.0,1,37
9,14.0,1,52
10,3.0,1,53
11,8.0,1,55
12,4.0,1,57
15,2.0,1,75
16,10.0,1,77
18,2.0,1,80
20,13.0,1,85
21,6.0,2,5
23,2.0,2,8
25,15.0,2,24
31,33.0,2,44
35,2.0,2,72
36,2.0,2,74
37,2.0,2,79
38,6.0,2,81
39,20.0,2,85
41,4.0,2,94
42,16.0,2,95
43,25.0,3,3
45,29.0,3,14
48,3.0,3,37
49,6.0,3,41
53,5.0,3,54
54,9.0,3,55
55,9.0,3,66
58,4.0,3,81
59,2.0,3,82
60,4.0,3,91
61,2.0,3,92
62,3.0,3,93
63,5.0,3,95
64,2.0,4,3
67,2.0,4,18
69,2.0,4,20
73,8.0,4,45
74,81.0,4,46
75,7.0,4,48
77,6.0,4,67
80,17.0,4,78
81,7.0,4,79
84,2.0,4,87
87,3.0,4,91
88,38.0,4,92
89,3.0,4,94
91,2.0,5,6
93,3.0,5,11
96,40.0,5,36
98,39.0,5,55
99,3.0,5,56
100,2.0,5,70
104,2.0,5,90
105,33.0,6,2
107,16.0,6,16
108,2.0,6,18
110,3.0,6,43
111,4.0,6,46
112,3.0,6,48
113,12.0,6,49
114,2.0,6,56
115,3.0,6,57
118,3.0,6,66
119,4.0,6,81
120,3.0,6,84
121,7.0,6,89
123,4.0,7,1
125,2.0,7,13
126,4.0,7,16
128,5.0,7,19
131,4.0,7,48
132,2.0,7,58
133,3.0,7,59
135,5.0,7,70
136,5.0,7,71
137,6.0,7,72
138,2.0,7,76
139,17.0,7,77
140,3.0,7,79
144,6.0,8,2
145,3.0,8,3
148,2.0,8,8
150,3.0,8,11
153,5.0,8,15
155,7.0,8,22
156,20.0,8,24
158,6.0,8,31
163,16.0,8,53
164,4.0,8,55
165,4.0,8,56
166,26.0,8,62
167,8.0,8,67
169,2.0,8,73
170,2.0,8,75
171,2.0,8,77
172,7.0,8,86
176,2.0,9,17
180,12.0,9,38
183,3.0,9,43
186,2.0,9,47
187,4.0,9,58
188,4.0,9,59
190,17.0,9,68
193,2.0,9,84
194,6.0,9,85
195,3.0,9,91
196,7.0,9,92
199,2.0,10,10
202,2.0,10,23
203,17.0,10,26
205,2.0,10,43
208,4.0,10,54
212,2.0,10,71
213,11.0,10,78
214,4.0,10,79
217,5.0,10,89
218,24.0,10,90
219,2.0,10,94
220,2.0,10,95
221,3.0,11,5
226,2.0,11,19
229,4.0,11,43
235,11.0,11,60
236,11.0,11,61
238,14.0,11,66
239,4.0,11,71
240,10.0,11,76
242,7.0,11,90
246,5.0,12,22
247,2.0,12,23
248,3.0,12,33
249,4.0,12,40
252,2.0,12,56
255,2.0,12,70
257,15.0,12,76
258,8.0,12,78
259,3.0,12,83
261,2.0,12,89
263,6.0,13,1
264,3.0,13,6
267,12.0,13,13
270,5.0,13,39
273,5.0,13,48
274,2.0,13,54
278,13.0,13,63
279,26.0,13,67
280,8.0,13,73
281,2.0,13,88
282,2.0,13,92
285,3.0,14,6
287,2.0,14,9
291,4.0,14,19
292,3.0,14,21
294,2.0,14,31
296,10.0,14,34
297,2.0,14,43
298,4.0,14,44
299,8.0,14,45
300,7.0,14,47
302,23.0,14,51
303,3.0,14,57
308,2.0,14,86
309,50.0,14,88
311,2.0,14,90
317,3.0,15,18
319,6.0,15,21
321,2.0,15,24
322,13.0,15,25
324,4.0,15,37
326,50.0,15,39
327,6.0,15,41
330,10.0,15,55
331,2.0,15,68
332,7.0,15,75
333,5.0,15,76
336,27.0,15,93
