"(1,1)",0
"(10,1)",0
"(11,1)",0
"(12,1)",0
"(13,1)",1
"(14,1)",0
"(15,1)",0
"(16,1)",1
"(17,1)",0
"(18,1)",0
"(19,1)",1
"(2,1)",0
"(20,1)",1
"(21,1)",1
"(22,1)",1
"(23,1)",0
"(24,1)",0
"(25,1)",1
"(26,1)",1
"(27,1)",0
"(28,1)",1
"(29,1)",0
"(3,1)",0
"(30,1)",0
"(31,1)",1
"(32,1)",1
"(33,1)",0
"(34,1)",1
"(35,1)",0
"(36,1)",0
"(37,1)",1
"(38,1)",0
"(39,1)",1
"(4,1)",1
"(40,1)",0
"(41,1)",1
"(42,1)",1
"(43,1)",1
"(44,1)",0
"(45,1)",1
"(46,1)",0
"(47,1)",1
"(48,1)",0
"(49,1)",0
"(5,1)",0
"(6,1)",1
"(7,1)",0
"(8,1)",0
"(9,1)",1
"(1,2)",0
"(10,2)",1
"(11,2)",0
"(12,2)",1
"(13,2)",0
"(14,2)",0
"(15,2)",0
"(16,2)",0
"(2,2)",0
"(3,2)",1
"(4,2)",0
"(5,2)",1
"(6,2)",1
"(7,2)",1
"(8,2)",1
"(9,2)",0
"(1,3)",1
"(10,3)",0
"(11,3)",1
"(12,3)",1
"(13,3)",0
"(14,3)",1
"(15,3)",0
"(16,3)",1
"(17,3)",1
"(18,3)",0
"(19,3)",0
"(2,3)",0
"(20,3)",0
"(21,3)",1
"(22,3)",1
"(23,3)",1
"(24,3)",1
"(25,3)",0
"(26,3)",0
"(27,3)",1
"(28,3)",0
"(29,3)",0
"(3,3)",1
"(30,3)",1
"(31,3)",1
"(32,3)",1
"(33,3)",0
"(34,3)",1
"(35,3)",1
"(36,3)",0
"(37,3)",0
"(38,3)",0
"(39,3)",0
"(4,3)",0
"(40,3)",0
"(41,3)",1
"(42,3)",0
"(43,3)",1
"(44,3)",0
"(45,3)",1
"(46,3)",1
"(47,3)",1
"(48,3)",1
"(49,3)",0
"(5,3)",1
"(50,3)",1
"(51,3)",0
"(52,3)",0
"(53,3)",1
"(54,3)",0
"(55,3)",0
"(56,3)",0
"(57,3)",1
"(58,3)",1
"(59,3)",1
"(6,3)",0
"(60,3)",0
"(7,3)",1
"(8,3)",0
"(9,3)",1
