 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -2.9126 0.1621 0.0038 -3.2553 -2.6163 1911.2853 0.9997
Rc 10.6616 0.2255 0.0044 10.2686 11.1359 2529.1764 1.0
w_n_t_1 0.4337 0.1172 0.0022 0.2008 0.6612 2366.7884 0.9997
w_a_t_1 2.6612 0.1196 0.0024 2.4295 2.8906 2382.9843 1.0001
w_d_t_1 -0.0307 0.1014 0.0021 -0.2186 0.1738 2336.7509 0.9998
w_c_t_1 1.9128 0.3514 0.009 1.2116 2.5888 1642.7266 0.9999
y_c_t_1 -2.1647 0.342 0.008 -2.8296 -1.4854 1959.6425 1.0004
Node -0.7208 0.1131 0.0022 -0.9359 -0.5004 2636.2452 0.9998
Under_Supply -4.3862 0.1477 0.0033 -4.6728 -4.1015 1815.1308 0.9997
Flow 1.1319 0.1718 0.0031 0.8184 1.4872 2307.3831 0.9997
Arc -0.0057 0.0973 0.0018 -0.1906 0.1907 2539.2025 0.9997
