 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -1.7903 0.1707 0.0036 -2.1107 -1.4503 2060.0366 0.9997
Rc 17.2033 0.358 0.007 16.4573 17.8678 2428.1357 1.0011
w_n_t_1 2.234 0.1253 0.0021 2.0012 2.4825 2653.1203 0.9998
w_a_t_1 3.7862 0.1238 0.0026 3.5503 4.0264 1798.123 0.9997
w_d_t_1 -0.8007 0.065 0.0012 -0.9227 -0.6653 3355.052 0.9997
w_c_t_1 -1.4083 0.2833 0.006 -1.9843 -0.8867 2075.7037 1.0007
y_c_t_1 -0.1499 0.2822 0.0055 -0.7107 0.3707 2292.3121 1.0007
Node -1.5282 0.12 0.0027 -1.7485 -1.2888 1889.2079 0.9998
Under_Supply -8.7709 0.2285 0.006 -9.2032 -8.3286 1337.1727 1.0003
Flow 3.3643 0.1922 0.0043 3.0097 3.756 1807.3926 0.9999
Arc -0.1282 0.0979 0.0019 -0.3123 0.0636 2336.5686 0.9997
