 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -6.8491 0.2296 0.0056 -7.2893 -6.3976 1991.6479 1.0001
Rc 10.8998 0.2423 0.005 10.4261 11.3618 2430.046 1.0013
w_n_t_1 1.8234 0.1443 0.0028 1.5401 2.0943 2600.5746 1.0017
w_a_t_1 3.2706 0.1161 0.0023 3.0348 3.4874 2430.1824 0.9999
w_d_t_1 -4.3931 989.69 16.5615 -1959.7242 1935.3068 3368.0538 1.0001
w_c_t_1 3.2847 0.5154 0.0125 2.2252 4.2413 1762.2394 0.9997
y_c_t_1 -0.2913 0.4241 0.0095 -1.1128 0.5424 2071.809 0.9998
Node -1.001 0.1361 0.003 -1.2693 -0.7337 2265.2631 0.9999
Under_Supply -3.6163 0.1964 0.005 -3.9852 -3.2134 1607.691 0.9997
Flow 0.0023 0.2361 0.0056 -0.4817 0.4438 1935.7212 1.0005
Arc -0.0723 0.1079 0.0022 -0.287 0.1284 2666.4385 0.9997
