 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -4.2996 0.156 0.0034 -4.604 -3.9956 1985.0455 0.9998
Rc 7.4787 0.1798 0.0034 7.1335 7.8615 2989.3096 0.9998
w_n_t_1 0.4743 0.0503 0.0011 0.3743 0.5688 2632.4614 1.0003
w_a_t_1 -0.2804 0.063 0.0013 -0.4057 -0.1621 2583.3179 0.9998
w_d_t_1 19.8866 995.9518 17.7096 -1909.0024 1957.3743 2966.6836 0.9997
w_c_t_1 1.7209 0.3853 0.0085 0.9077 2.4172 1795.4936 1.0019
y_c_t_1 2.4055 0.3352 0.0067 1.7563 3.0322 2227.7411 1.0014
Node -0.4972 0.0955 0.0018 -0.6727 -0.3004 2793.621 0.9998
Under_Supply -1.9719 0.1359 0.0029 -2.2391 -1.6999 1721.9914 1.0003
Flow 0.7232 0.1483 0.0028 0.4163 0.988 2442.7479 1.0012
Arc 0.1616 0.0814 0.0016 -0.0044 0.3144 2653.5111 1.0
