 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -2.6034 0.3554 0.0101 -3.2932 -1.907 977.0003 1.0021
Rc 53.2261 1.2402 0.0293 50.7647 55.5666 2009.784 1.0007
w_n_t_1 0.9629 0.1118 0.0022 0.7377 1.1734 2072.0499 0.9997
w_a_t_1 1.5246 0.105 0.0021 1.3158 1.7241 2451.5656 1.0011
w_d_t_1 -1.2883 1007.9456 18.9275 -2031.8556 1965.4456 2884.6018 1.0002
w_c_t_1 0.276 0.2628 0.0056 -0.2333 0.8134 1824.5521 1.0018
y_c_t_1 -0.3167 0.2367 0.0053 -0.7545 0.1539 1699.7601 1.0014
Node 0.4623 0.1037 0.0022 0.2665 0.6602 1960.1535 1.0016
Under_Supply -1.7755 0.3478 0.01 -2.4576 -1.0886 934.0405 1.0014
Flow -0.5441 0.123 0.0029 -0.7828 -0.3105 1634.9568 0.9998
Arc 0.4963 0.0887 0.0018 0.3253 0.6681 2426.0621 0.9997
