 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -4.3177 0.199 0.0042 -4.7188 -3.9502 2209.2319 0.9997
Rc 12.005 0.2952 0.0049 11.4895 12.66 3259.1989 0.9999
w_n_t_1 0.9134 0.0874 0.0015 0.7382 1.0762 3361.0488 0.9998
w_a_t_1 1.8486 0.0873 0.0013 1.673 2.0146 3017.0385 1.0009
w_d_t_1 -18.649 1009.0658 19.3395 -2026.3152 1899.4733 3033.3199 0.9998
w_c_t_1 4.1553 0.489 0.0114 3.158 5.0634 1857.6473 1.0001
y_c_t_1 -1.4196 0.4324 0.0088 -2.2934 -0.6436 2179.0766 1.0002
Node -1.5855 0.1275 0.0026 -1.8285 -1.3464 2526.7193 0.9997
Under_Supply -6.1906 0.216 0.0044 -6.6164 -5.7877 2305.1346 1.0
Flow 3.0761 0.2473 0.0046 2.6079 3.576 2398.062 0.9997
Arc -0.4566 0.1055 0.002 -0.6635 -0.2447 2934.0524 1.0001
