 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -11.592 0.3284 0.0076 -12.2148 -10.941 1679.0475 1.0005
Rc 5.3321 0.1803 0.0034 4.9995 5.7042 2094.2492 1.0002
w_n_t_1 0.5874 0.1693 0.0034 0.2506 0.9155 2686.8164 1.0007
w_a_t_1 2.2652 0.1017 0.0019 2.0713 2.4702 2558.4235 0.9997
w_d_t_1 -29.998 1004.5406 18.2596 -1928.5612 1940.8758 3079.6885 0.9998
w_c_t_1 5.2527 0.7069 0.0193 3.9371 6.6949 1344.4916 0.9997
y_c_t_1 0.1971 0.5661 0.0139 -0.8483 1.3054 1638.4973 0.9997
Node -0.9331 0.1916 0.004 -1.2903 -0.5457 1974.1471 1.0001
Under_Supply -1.9331 0.2571 0.0058 -2.4009 -1.3918 1366.5684 1.0007
Flow 3.2059 0.3833 0.0083 2.4595 3.9447 1547.1636 1.0023
Arc 1.0603 0.1447 0.0031 0.7772 1.3427 2000.984 1.0002
