 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -8.4595 0.2781 0.005 -8.9888 -7.8844 3087.2112 1.0004
Rc 9.5541 0.2695 0.0057 9.0567 10.1001 2264.9309 0.9998
w_n_t_1 0.8488 0.1472 0.0026 0.5683 1.1363 3635.7599 1.0012
w_a_t_1 2.9157 0.1109 0.0022 2.6926 3.1292 2864.0212 0.9998
w_d_t_1 -0.7115 0.1055 0.0018 -0.9155 -0.5108 3299.4683 1.0004
w_c_t_1 2.5659 0.4504 0.0101 1.6396 3.4072 1722.813 0.9997
y_c_t_1 1.9515 0.422 0.0089 1.1528 2.8227 2157.0846 0.9997
Node -2.113 0.2019 0.0041 -2.5073 -1.7293 2147.2558 1.0007
Under_Supply -5.3886 0.3051 0.0073 -5.9714 -4.7942 1405.2705 0.9999
Flow 2.8026 0.4287 0.0102 1.9426 3.6111 1480.0576 0.9997
Arc -0.7391 0.1499 0.0028 -1.0282 -0.444 2303.8197 0.9997
