 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept 0.173 0.1935 0.0053 -0.198 0.5608 1355.2678 0.9999
Rc 15.1254 0.3292 0.0071 14.5049 15.7858 2111.0144 0.9999
w_n_t_1 0.6878 0.0708 0.0014 0.549 0.823 2331.8339 1.0004
w_a_t_1 2.3971 0.0651 0.0016 2.2733 2.5246 1797.5406 0.9997
w_d_t_1 14.8423 1026.6041 17.9876 -2091.8135 1914.9852 3424.598 0.9998
w_c_t_1 -1.1607 0.2069 0.0048 -1.5517 -0.7481 1912.2413 1.0018
y_c_t_1 -0.2968 0.1963 0.0045 -0.6958 0.0715 2328.986 1.0003
Node -0.3899 0.0853 0.0017 -0.5665 -0.2344 2410.0499 1.0002
Under_Supply -4.9509 0.1838 0.0053 -5.2985 -4.5758 1272.5169 0.9997
Flow 0.2361 0.1145 0.0023 0.0102 0.448 2504.2653 0.9997
Arc 0.3858 0.0736 0.0017 0.239 0.5292 2332.5104 1.0003
