 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -2.229 0.1782 0.0047 -2.5852 -1.8803 1731.2365 1.0014
Rc 16.266 0.3245 0.0062 15.6326 16.9051 2711.7879 0.9999
w_n_t_1 0.3388 0.0815 0.0012 0.1802 0.5006 3168.8192 0.9997
w_a_t_1 1.5772 0.0795 0.0016 1.4268 1.7448 2447.1174 1.0008
w_d_t_1 7.7959 1019.8981 19.7635 -2056.0683 1986.6009 2957.9921 1.0008
w_c_t_1 3.2333 0.4281 0.0116 2.4432 4.1101 1518.145 1.0017
y_c_t_1 -0.9366 0.3909 0.0096 -1.7264 -0.2253 1812.812 1.002
Node -0.6038 0.0958 0.0019 -0.7906 -0.4171 2220.1063 0.9997
Under_Supply -5.7551 0.1903 0.0045 -6.1081 -5.3798 1564.418 1.0001
Flow 1.9982 0.1436 0.0032 1.7268 2.2779 2088.8211 0.9997
Arc -0.0675 0.0881 0.002 -0.241 0.1036 1990.8325 1.0013
