 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -2.8615 0.1867 0.0038 -3.2241 -2.4925 2131.5706 0.9998
Rc 8.3547 0.1897 0.0036 7.9885 8.7199 2768.3679 0.9997
w_n_t_1 1.0235 0.1125 0.0021 0.8051 1.2419 2960.188 0.9997
w_a_t_1 2.7647 0.1026 0.002 2.5711 2.965 2363.4771 1.0
w_d_t_1 3.2848 979.0849 16.5265 -1775.5895 2061.9588 3389.9583 1.0
w_c_t_1 0.1432 0.4547 0.0101 -0.6899 1.0567 1778.6964 1.0
y_c_t_1 -2.6483 0.4055 0.0081 -3.4764 -1.8887 1888.2457 0.9999
Node -1.148 0.1203 0.0021 -1.3801 -0.9139 2669.6603 0.9999
Under_Supply -4.3446 0.1769 0.004 -4.6851 -4.0067 1821.8518 0.9997
Flow 1.9812 0.2002 0.0036 1.5715 2.3537 2405.1339 0.9997
Arc -0.0986 0.0997 0.0021 -0.3112 0.0853 2506.216 1.0003
