 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept 0.2653 0.2041 0.0055 -0.1382 0.6515 1654.153 0.9997
Rc 31.548 0.6412 0.0138 30.2827 32.7928 2197.4656 1.0008
w_n_t_1 1.2818 0.1238 0.0023 1.039 1.5198 2641.054 0.9997
w_a_t_1 1.5785 0.1225 0.0025 1.3167 1.7977 2263.8725 0.9997
w_d_t_1 -0.9641 0.0636 0.0013 -1.0937 -0.844 2593.8071 0.9997
w_c_t_1 0.6727 0.2943 0.0064 0.0886 1.2566 1931.9141 1.0002
y_c_t_1 2.8563 0.3015 0.0076 2.2461 3.4186 1766.3309 1.0013
Node -0.6154 0.1034 0.0021 -0.8106 -0.4051 2167.3937 1.0002
Under_Supply -10.0325 0.2957 0.0086 -10.6362 -9.4868 1210.0577 1.0016
Flow 3.0383 0.1726 0.0039 2.7014 3.3649 1917.0899 1.0015
Arc -0.1793 0.0937 0.0019 -0.367 -0.003 2477.0272 0.9997
