 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -24.6908 0.7266 0.0188 -26.116 -23.2519 1516.3189 0.9997
Rc 20.6835 0.6275 0.0138 19.4396 21.8754 1956.1369 0.9997
w_n_t_1 0.1125 0.1021 0.0018 -0.0978 0.3016 3525.4608 1.0
w_a_t_1 0.6977 0.1008 0.0019 0.4956 0.8866 2960.1726 0.9999
w_d_t_1 -1.736 990.0829 18.9576 -1770.8874 2126.6222 2497.756 0.9997
w_c_t_1 22.0342 0.9337 0.0243 20.1476 23.8007 1557.5411 1.001
y_c_t_1 4.7626 0.6323 0.0138 3.4303 5.8848 1787.3382 1.0012
Node -4.1649 0.4025 0.0097 -4.9883 -3.438 1471.1372 1.0018
Under_Supply -9.6401 0.5971 0.0152 -10.8088 -8.4856 1285.0536 1.0035
Flow 1.5463 0.827 0.0205 -0.0543 3.2035 1305.4259 1.0022
Arc -0.9594 0.2404 0.0045 -1.4326 -0.4842 2254.2597 1.0013
