 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -29.8597 0.9427 0.0229 -31.7345 -28.0903 1835.35 1.0013
Rc 21.5281 0.7373 0.0166 20.0469 22.9296 2404.9045 1.0003
w_n_t_1 -1.3958 0.1911 0.0038 -1.7564 -1.0026 2826.7711 1.0001
w_a_t_1 -0.0268 0.1836 0.0035 -0.4082 0.3254 2886.8468 0.9997
w_d_t_1 -1.1431 0.1202 0.0022 -1.3657 -0.8858 2846.6715 0.9999
w_c_t_1 25.8429 1.1159 0.0268 23.5616 27.9492 1905.3191 1.0001
y_c_t_1 8.3577 0.7062 0.017 7.0145 9.7734 1724.3925 0.9998
Node -5.4454 0.4215 0.0086 -6.3227 -4.675 1879.216 1.0018
Under_Supply -12.9297 0.691 0.0156 -14.376 -11.6555 1572.8193 1.0021
Flow 6.7105 0.9406 0.0208 4.8886 8.5715 1655.2311 1.0013
Arc -2.3667 0.2807 0.0056 -2.9037 -1.808 2153.7501 1.0007
