 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -5.2558 0.2161 0.0051 -5.6772 -4.8439 1939.7687 0.9997
Rc 7.4363 0.1908 0.0034 7.0922 7.829 2573.376 0.9997
w_n_t_1 0.6106 0.1315 0.0024 0.3683 0.8764 3212.6275 0.9997
w_a_t_1 3.5162 0.108 0.0018 3.3039 3.7201 2720.3205 0.9997
w_d_t_1 8.039 971.1124 15.3193 -1773.9781 1953.2981 3298.5159 1.0009
w_c_t_1 1.7674 0.5172 0.0125 0.7479 2.7593 1542.7665 0.9997
y_c_t_1 -2.5179 0.4424 0.0093 -3.3858 -1.6702 1778.4359 0.9997
Node -1.1614 0.1382 0.0026 -1.4506 -0.9053 2502.0736 0.9997
Under_Supply -3.6646 0.1989 0.0045 -4.0546 -3.2756 1972.4079 0.9997
Flow 2.2337 0.258 0.005 1.745 2.7347 2101.7428 0.9998
Arc 0.5085 0.1076 0.002 0.3077 0.7292 2825.8979 0.9998
