 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -1.995 0.221 0.0045 -2.4316 -1.5748 2088.6456 0.9998
Rc 16.3896 0.3625 0.0069 15.6538 17.0651 2778.859 0.9999
w_n_t_1 0.9005 0.0835 0.0015 0.7339 1.0569 3302.5899 0.9999
w_a_t_1 2.4952 0.0737 0.0015 2.356 2.6425 2204.4599 0.9999
w_d_t_1 19.6232 969.4078 17.8746 -1892.629 1847.5789 3024.4804 1.0003
w_c_t_1 1.2978 0.5275 0.0119 0.1929 2.2506 1740.4764 1.0004
y_c_t_1 -1.5064 0.4345 0.0097 -2.385 -0.6704 1867.2775 1.0006
Node -2.1272 0.154 0.003 -2.4083 -1.8157 2506.2739 0.9997
Under_Supply -9.9431 0.263 0.0056 -10.4393 -9.4122 1885.0926 0.9999
Flow 2.5198 0.2732 0.0059 1.9476 3.0309 2291.5334 0.9998
Arc -0.556 0.1092 0.0021 -0.7784 -0.3532 3168.986 0.9998
