 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -2.5532 0.1555 0.0035 -2.8611 -2.2529 2075.5551 1.0014
Rc 13.1228 0.3023 0.0061 12.4843 13.6582 2131.1239 1.0002
w_n_t_1 0.9125 0.1066 0.0021 0.7021 1.1133 2826.7725 0.9997
w_a_t_1 2.7225 0.1126 0.0025 2.5064 2.9408 1990.7111 1.0015
w_d_t_1 -9.2961 1002.5725 18.3262 -2006.8241 1994.9267 2919.7063 0.9998
w_c_t_1 0.8373 0.3686 0.0098 0.08 1.5227 1418.8158 1.0015
y_c_t_1 -0.6808 0.3509 0.009 -1.3457 0.0087 1494.9767 1.0017
Node -1.8312 0.1253 0.0029 -2.0786 -1.5912 2210.2823 0.9997
Under_Supply -8.1369 0.2011 0.0049 -8.5558 -7.7639 1899.0211 0.9997
Flow 3.0361 0.245 0.0058 2.5831 3.5207 1739.5292 0.9998
Arc -0.336 0.1017 0.0022 -0.5349 -0.1336 2112.6608 0.9997
