 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -3.0164 0.1573 0.0037 -3.3312 -2.7122 1752.9614 0.9997
Rc 5.8276 0.1565 0.0029 5.527 6.1276 2682.3747 1.0001
w_n_t_1 0.1783 0.0489 0.001 0.0859 0.2766 2885.5697 0.9998
w_a_t_1 -0.0212 0.0529 0.0008 -0.1212 0.0842 3342.0498 0.9999
w_d_t_1 -25.8208 1014.5319 18.8687 -2146.053 1842.9819 2446.0234 0.9997
w_c_t_1 1.326 0.3887 0.0101 0.5215 2.0424 1700.5996 1.0007
y_c_t_1 1.8358 0.3429 0.008 1.1565 2.4963 1976.8907 1.0012
Node -0.2169 0.0993 0.0021 -0.4134 -0.0198 2389.9836 1.0006
Under_Supply -3.2764 0.14 0.0033 -3.5376 -2.9934 1541.6039 0.9997
Flow 0.786 0.178 0.0038 0.4496 1.1337 2011.6633 0.9997
Arc -0.3025 0.0839 0.0018 -0.4647 -0.139 2486.1445 1.001
