 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -3.6285 0.2079 0.0044 -4.0393 -3.2177 2078.7955 0.9999
Rc 12.2713 0.2709 0.005 11.7282 12.772 2665.1488 0.9997
w_n_t_1 1.1453 0.1032 0.0018 0.9385 1.3472 3114.6907 0.9997
w_a_t_1 2.9908 0.0949 0.002 2.8082 3.1761 2559.2812 0.9997
w_d_t_1 27.2599 988.5244 15.4954 -2077.2399 1835.9828 3507.3335 0.9997
w_c_t_1 2.9172 0.5157 0.0124 1.8975 3.9611 1694.5338 1.0
y_c_t_1 -2.2409 0.4501 0.0101 -3.1044 -1.3192 1925.1228 1.0
Node -1.5778 0.1342 0.0028 -1.8418 -1.3225 2708.2356 0.9997
Under_Supply -6.3303 0.2086 0.0058 -6.7206 -5.8999 1394.3795 0.9998
Flow 1.4677 0.2377 0.0052 0.9668 1.8866 2155.5126 0.9998
Arc -0.5286 0.1081 0.0022 -0.7569 -0.3273 2685.07 1.0003
