 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -5.259 0.2144 0.004 -5.6416 -4.8256 2565.0474 1.0
Rc 13.1987 0.3646 0.0081 12.5028 13.9454 2047.9946 0.9997
w_n_t_1 1.7233 0.0973 0.0021 1.5292 1.9078 2484.3118 1.001
w_a_t_1 1.5876 0.0967 0.0018 1.3974 1.7705 2883.3498 1.0007
w_d_t_1 -0.458 0.1019 0.0018 -0.6574 -0.2634 2688.7246 0.9997
w_c_t_1 2.5202 0.3644 0.0083 1.831 3.2737 2041.6147 0.9998
y_c_t_1 1.9713 0.3303 0.007 1.3756 2.6778 2510.4435 1.0
Node -2.1778 0.1563 0.003 -2.4898 -1.8803 2697.2866 1.0002
Under_Supply -9.182 0.295 0.0074 -9.7516 -8.5977 1933.0638 1.0007
Flow 4.4183 0.381 0.0088 3.6445 5.1478 2035.6611 1.0001
Arc -1.0497 0.1236 0.0026 -1.2919 -0.8147 2432.771 0.9999
