 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -5.4066 0.2155 0.0049 -5.82 -4.9797 2228.8891 0.9997
Rc 11.3759 0.2707 0.0049 10.8307 11.8776 2661.0033 1.0005
w_n_t_1 0.7632 0.1196 0.0022 0.5366 1.001 3747.1917 0.9997
w_a_t_1 3.0583 0.1175 0.0021 2.8313 3.2865 2790.9083 1.0002
w_d_t_1 1.271 1017.5185 17.3256 -2151.4615 1847.3477 3262.5704 1.0002
w_c_t_1 5.2608 0.5633 0.0137 4.1147 6.3139 1787.4686 1.0003
y_c_t_1 -2.5223 0.4883 0.0108 -3.4458 -1.5486 2216.2268 1.0003
Node -1.698 0.138 0.0028 -1.9597 -1.4198 2455.1135 1.0004
Under_Supply -5.9379 0.2136 0.0049 -6.3343 -5.5129 1516.4001 0.9997
Flow 2.2273 0.2715 0.0053 1.7097 2.7621 1985.0569 0.9998
Arc -0.5104 0.11 0.0019 -0.7275 -0.3052 2866.0906 0.9998
