 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -18.1614 0.5096 0.0116 -19.1675 -17.14 1632.1201 1.0
Rc 16.4515 0.4765 0.0104 15.5568 17.419 1709.4814 1.0005
w_n_t_1 1.0997 0.1865 0.0031 0.7492 1.467 3221.4621 0.9997
w_a_t_1 2.2929 0.141 0.0029 2.0224 2.5719 2117.0976 0.9999
w_d_t_1 -2.3339 967.0955 17.3123 -1870.887 1809.1489 3716.4498 0.9999
w_c_t_1 15.3394 0.7218 0.0169 14.0277 16.804 1629.9275 1.0002
y_c_t_1 1.2764 0.5483 0.0126 0.223 2.3521 1762.6328 0.9997
Node -4.0201 0.3356 0.008 -4.7007 -3.3693 1494.0619 1.0001
Under_Supply -9.2411 0.4836 0.0132 -10.2315 -8.3329 1155.0534 1.0001
Flow 3.1158 0.6874 0.0172 1.8537 4.5019 1148.3151 1.0005
Arc -1.0823 0.1952 0.0039 -1.4628 -0.6868 1955.955 1.0001
