 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -17.5181 0.514 0.0118 -18.5334 -16.5361 1566.3224 1.0
Rc 17.9115 0.527 0.0116 16.8737 18.897 1866.0448 0.9997
w_n_t_1 1.9458 0.1528 0.0026 1.6445 2.2407 2857.5439 0.9997
w_a_t_1 2.3784 0.1547 0.003 2.0903 2.6881 2142.1911 1.0001
w_d_t_1 7.5014 1013.0045 17.7792 -1909.4528 2082.5685 2922.6483 0.9997
w_c_t_1 13.0076 0.8583 0.0203 11.3971 14.7339 1433.7325 0.9997
y_c_t_1 2.7441 0.6804 0.0142 1.395 4.0512 2030.9285 0.9997
Node -3.4224 0.281 0.0069 -3.9768 -2.8731 1596.9503 1.0
Under_Supply -9.3135 0.4487 0.0116 -10.1702 -8.416 1435.0191 0.9997
Flow 3.3737 0.6567 0.0178 2.1257 4.6902 1405.1735 0.9999
Arc -1.1977 0.1806 0.0034 -1.5488 -0.8427 2196.1132 0.9997
