 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -6.923 0.2977 0.0057 -7.5448 -6.3843 2453.5522 0.9997
Rc 13.7341 0.3944 0.0067 13.0 14.532 2796.6935 0.9997
w_n_t_1 0.6973 0.1305 0.0018 0.4484 0.9654 3655.4973 0.9997
w_a_t_1 2.334 0.1092 0.002 2.1063 2.5387 2826.5073 0.9997
w_d_t_1 1.3303 979.0599 17.5085 -1897.6563 1975.7598 3510.524 0.9999
w_c_t_1 6.5332 0.6696 0.0148 5.2378 7.801 1608.2988 0.9997
y_c_t_1 -1.4454 0.5542 0.0116 -2.5016 -0.3346 1869.9465 0.9998
Node -2.293 0.2153 0.0043 -2.7364 -1.9047 2396.1484 0.9997
Under_Supply -7.7051 0.3299 0.0071 -8.3249 -7.0441 1737.6113 0.9998
Flow 1.7421 0.4817 0.0101 0.8374 2.6935 1806.8853 0.9998
Arc -0.7738 0.1578 0.0029 -1.0983 -0.4832 2633.3205 1.0004
