 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -8.6705 0.2959 0.0062 -9.2453 -8.0859 2592.0927 0.9998
Rc 15.8896 0.4297 0.0085 15.0479 16.6916 2679.4916 0.9997
w_n_t_1 1.1979 0.0751 0.0014 1.0655 1.359 2812.1229 0.9997
w_a_t_1 1.6327 0.0811 0.0014 1.4762 1.7908 3023.6513 1.0003
w_d_t_1 -1.0027 0.0885 0.0015 -1.1714 -0.8264 3649.357 0.9998
w_c_t_1 3.9472 0.4253 0.0092 3.0263 4.6911 2169.9149 1.0
y_c_t_1 3.8605 0.4049 0.0074 3.0818 4.6696 2611.0497 1.0003
Node -2.9946 0.2105 0.0044 -3.4129 -2.6003 2269.3109 0.9997
Under_Supply -9.7412 0.3562 0.0081 -10.4302 -9.0274 1782.9177 0.9998
Flow 4.1682 0.4972 0.0111 3.25 5.1746 1809.9221 0.9999
Arc -1.0017 0.1463 0.0027 -1.2869 -0.7178 2537.1401 0.9997
