 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -4.8109 0.2549 0.0056 -5.3154 -4.3392 2223.4317 0.9998
Rc 13.289 0.3367 0.0066 12.5696 13.9008 3010.206 0.9998
w_n_t_1 0.5307 0.1067 0.0017 0.3139 0.7354 3834.4971 0.9997
w_a_t_1 2.5765 0.104 0.0018 2.3701 2.7685 2801.3387 0.9997
w_d_t_1 -8.4249 1005.2366 15.605 -2019.836 1847.9027 3219.2928 0.9997
w_c_t_1 4.5967 0.6094 0.0158 3.4155 5.8516 1692.0979 0.9997
y_c_t_1 -1.6329 0.4977 0.0116 -2.6088 -0.6594 2112.6758 0.9997
Node -2.047 0.1858 0.0033 -2.3992 -1.6706 3002.4603 0.9997
Under_Supply -7.6555 0.2727 0.0059 -8.197 -7.1432 2100.2165 0.9997
Flow 1.5676 0.3444 0.0072 0.8803 2.2325 2356.0023 0.9997
Arc -0.5504 0.1351 0.0023 -0.8018 -0.2729 3157.4686 0.9997
