 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -7.843 0.2692 0.0057 -8.3819 -7.3272 2311.4425 0.9997
Rc 14.9504 0.43 0.0084 14.0693 15.75 2503.2054 1.0012
w_n_t_1 1.0376 0.1124 0.0018 0.8232 1.2703 3331.8576 0.9999
w_a_t_1 2.2895 0.1145 0.0021 2.0685 2.5147 3092.5219 0.9997
w_d_t_1 15.0967 991.2676 18.9564 -2034.086 1862.9167 3147.3147 0.9997
w_c_t_1 5.8304 0.5319 0.0112 4.7901 6.908 2089.411 1.0001
y_c_t_1 -0.6057 0.4424 0.0089 -1.4481 0.3207 2487.4063 1.0
Node -4.1045 0.2317 0.0048 -4.5616 -3.6803 1896.0775 1.0001
Under_Supply -11.6715 0.3686 0.0076 -12.381 -10.941 1669.0155 1.0
Flow 5.7474 0.5325 0.0116 4.7062 6.7959 1497.3757 1.001
Arc -1.2313 0.1547 0.0025 -1.5363 -0.9323 2729.2076 1.0029
