 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -0.334 0.1679 0.0038 -0.6663 -0.0083 1477.1471 0.9997
Rc 12.3392 0.2459 0.0052 11.8329 12.807 2192.6099 1.0001
w_n_t_1 1.4371 0.0795 0.0015 1.2771 1.582 2802.4721 0.9997
w_a_t_1 3.0919 0.0848 0.0018 2.9196 3.2469 1925.6764 0.9998
w_d_t_1 17.8718 1013.1866 14.8221 -1908.8579 1919.0337 2828.3623 1.0009
w_c_t_1 -1.3221 0.3953 0.0099 -2.0694 -0.5125 1443.3691 0.9997
y_c_t_1 -2.2872 0.3588 0.0079 -2.9655 -1.5849 1759.5612 0.9997
Node -0.9631 0.1025 0.0022 -1.1683 -0.7724 2069.9381 0.9998
Under_Supply -6.3621 0.1751 0.0043 -6.6894 -6.0002 1401.4336 0.9997
Flow 1.605 0.1491 0.0031 1.3037 1.8927 2174.9845 0.9997
Arc -0.1904 0.0857 0.0016 -0.3585 -0.0306 2319.3228 0.9997
