 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept 0.6169 0.204 0.0053 0.2245 1.0106 1308.5308 1.0037
Rc 18.0933 0.3794 0.0093 17.3905 18.8772 1615.7257 1.0011
w_n_t_1 1.1673 0.1062 0.0022 0.9677 1.3873 2045.2145 0.9998
w_a_t_1 3.3723 0.0874 0.0024 3.1987 3.5393 1295.0227 1.0017
w_d_t_1 -1.4037 0.0669 0.0015 -1.5359 -1.2791 2086.2782 1.0
w_c_t_1 -0.6921 0.3142 0.0079 -1.3299 -0.1165 1540.8334 1.0005
y_c_t_1 -2.6727 0.3025 0.0067 -3.2557 -2.0488 1871.0017 0.9997
Node -2.1951 0.1467 0.0034 -2.4811 -1.9112 1898.2391 0.9998
Under_Supply -10.5331 0.2658 0.0082 -11.0349 -10.0111 913.4461 1.0024
Flow 2.7426 0.2221 0.0053 2.3007 3.1589 1652.9139 0.9998
Arc -0.1747 0.1119 0.0022 -0.4048 0.0381 2278.9332 1.0012
