 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -5.4475 0.2006 0.0044 -5.8282 -5.0426 1911.5989 1.0016
Rc 9.2867 0.2206 0.0036 8.8441 9.7076 3252.2793 0.9997
w_n_t_1 0.461 0.1366 0.0028 0.197 0.7336 2260.1333 1.0003
w_a_t_1 0.2726 0.1462 0.003 -0.01 0.5515 2570.5192 0.9997
w_d_t_1 53.9318 1040.2901 18.1523 -2076.9064 2041.574 3049.0366 0.9997
w_c_t_1 4.1285 0.4725 0.0107 3.2322 5.0927 1713.1967 1.0023
y_c_t_1 1.8935 0.4169 0.009 1.046 2.6541 2223.7088 1.0004
Node -0.9071 0.1118 0.0021 -1.1246 -0.6923 2450.3044 1.0002
Under_Supply -3.2312 0.1749 0.0037 -3.5531 -2.8809 1674.8454 1.001
Flow 0.8737 0.1907 0.0036 0.5295 1.2785 2245.9831 1.0003
Arc -0.0886 0.0916 0.0017 -0.2627 0.0961 2994.7955 0.9997
