 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept 0.5866 0.2094 0.0058 0.1896 0.9976 1279.8275 1.0004
Rc 16.2453 0.3872 0.0081 15.4905 17.0038 2376.149 0.9997
w_n_t_1 2.0225 0.1099 0.0021 1.808 2.2339 2601.319 0.9997
w_a_t_1 2.8175 0.1181 0.0028 2.5892 3.0423 1929.1395 0.9999
w_d_t_1 -12.4214 1003.6696 17.9947 -1967.8786 1851.2854 3012.2822 1.0005
w_c_t_1 -1.4809 0.388 0.0097 -2.2148 -0.7065 1515.5073 0.9999
y_c_t_1 -1.359 0.3662 0.0089 -2.0532 -0.6526 1739.7741 0.9998
Node -0.472 0.0866 0.0021 -0.6388 -0.3083 1592.7313 1.0004
Under_Supply -5.053 0.2107 0.006 -5.4532 -4.6298 1117.0794 1.0011
Flow 0.9598 0.1027 0.0022 0.765 1.1639 1844.8487 1.0
Arc -0.0157 0.0781 0.0017 -0.1687 0.1388 2231.5147 1.0013
