 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -1.1949 0.1873 0.0041 -1.5703 -0.8239 1656.4344 0.9997
Rc 16.742 0.3419 0.0062 16.1261 17.4349 2986.4145 1.0005
w_n_t_1 1.5485 0.084 0.0016 1.3926 1.716 2323.1645 0.9997
w_a_t_1 1.4194 0.0788 0.0015 1.2706 1.574 2373.3146 0.9997
w_d_t_1 16.9041 1005.048 20.7801 -2039.3438 1878.0299 2414.7682 0.9999
w_c_t_1 2.3581 0.4223 0.011 1.5926 3.2247 1499.6251 0.9999
y_c_t_1 -0.9049 0.3889 0.0088 -1.6991 -0.1817 1806.282 1.0
Node -0.6376 0.0931 0.0016 -0.818 -0.4467 2604.4753 1.0014
Under_Supply -6.1479 0.2049 0.0043 -6.5296 -5.7285 1712.0853 0.9998
Flow 1.6671 0.1375 0.0024 1.3987 1.9362 2391.1193 0.9999
Arc -0.0025 0.0807 0.0015 -0.1624 0.15 2230.1803 1.0014
