 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -2.6491 0.1592 0.0042 -2.9573 -2.3337 1429.9386 1.0008
Rc 10.054 0.2029 0.0041 9.6617 10.4606 2419.9298 0.9998
w_n_t_1 1.7889 0.0991 0.0017 1.5921 1.9757 2978.5452 0.9999
w_a_t_1 2.8474 0.0955 0.0019 2.6589 3.0291 2065.493 0.9998
w_d_t_1 26.4978 1002.5409 20.1048 -1868.2321 1982.0992 2547.5988 0.9997
w_c_t_1 -0.1245 0.3843 0.0111 -0.8551 0.6328 1196.1888 1.0
y_c_t_1 -1.5882 0.3356 0.0083 -2.3035 -0.9804 1621.591 0.9998
Node -0.6585 0.0938 0.002 -0.8363 -0.4721 1853.7313 1.001
Under_Supply -3.7728 0.1518 0.0041 -4.0693 -3.4757 1230.5058 1.0015
Flow 1.2531 0.1356 0.0026 0.9905 1.5196 2293.1179 1.0005
Arc -0.0824 0.0832 0.0015 -0.2451 0.0761 2415.2426 0.9997
