 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -2.4319 0.1765 0.0033 -2.7592 -2.0849 2512.9466 1.0
Rc 14.9723 0.3353 0.0069 14.3106 15.6112 2158.9719 0.9997
w_n_t_1 0.8541 0.0656 0.0013 0.7279 0.9835 2832.4884 0.9997
w_a_t_1 2.4431 0.075 0.0016 2.2899 2.5822 1978.5457 0.9997
w_d_t_1 -26.7419 1014.4558 16.4168 -2017.1187 1963.8305 3180.2535 1.0001
w_c_t_1 2.7485 0.3979 0.0093 1.9934 3.5425 1634.4064 1.0002
y_c_t_1 -2.6037 0.3528 0.0078 -3.332 -1.9434 1715.7523 1.0004
Node -2.0441 0.157 0.0034 -2.3312 -1.7337 1886.7345 1.0
Under_Supply -9.2815 0.2313 0.0057 -9.7613 -8.8366 1590.0912 0.9998
Flow 2.0153 0.2747 0.006 1.4765 2.5388 1775.7313 0.9997
Arc -0.9312 0.1243 0.0026 -1.1647 -0.6882 2386.8148 1.0001
