 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -14.4017 0.6136 0.0159 -15.5703 -13.1908 1450.6483 1.0006
Rc 14.8895 0.4863 0.0106 13.8785 15.8102 2370.5041 0.9999
w_n_t_1 1.3242 0.1885 0.0044 0.9608 1.6905 1824.2095 0.9998
w_a_t_1 1.8792 0.1638 0.0041 1.5669 2.2017 2095.4288 0.9997
w_d_t_1 -6.9927 998.4908 18.371 -1893.5511 2115.2402 3554.0988 0.9998
w_c_t_1 6.2937 0.6934 0.0171 4.9817 7.6975 1644.0322 1.0
y_c_t_1 5.6034 0.5183 0.0136 4.5814 6.6224 1503.6864 0.9998
Node -6.6296 0.3101 0.0066 -7.2238 -6.0274 1762.7475 0.9997
Under_Supply -14.0814 0.461 0.0101 -14.9999 -13.2165 1722.9412 1.0001
Flow 9.0287 0.7072 0.0169 7.604 10.3719 1497.2594 1.0001
Arc -3.0745 0.2025 0.0043 -3.462 -2.681 2128.7142 1.0011
