 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -11.9755 0.3009 0.0056 -12.5881 -11.404 2659.8279 0.9997
Rc 3.48 0.1604 0.0029 3.1755 3.7869 2689.4001 0.9997
w_n_t_1 -0.8537 0.1637 0.003 -1.162 -0.5101 2951.7441 0.9999
w_a_t_1 1.5529 0.1417 0.0023 1.291 1.8378 3120.823 0.9997
w_d_t_1 -0.0234 1004.2425 16.3825 -1974.6385 1950.1784 3931.4694 0.9997
w_c_t_1 8.1329 0.5382 0.0123 7.0803 9.1823 1711.2618 0.9999
y_c_t_1 -2.5565 0.4584 0.0093 -3.4795 -1.6728 2324.3242 1.0001
Node -1.0003 0.2114 0.0042 -1.4066 -0.578 2427.6747 1.0006
Under_Supply -0.5585 0.2599 0.006 -1.0484 -0.0376 1684.5603 0.9997
Flow 4.4969 0.3966 0.0086 3.7091 5.2555 1884.9623 0.9997
Arc 1.0578 0.1784 0.0031 0.7167 1.4039 2846.4689 1.0001
