 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -11.271 0.2611 0.0052 -11.7612 -10.7512 2214.4584 0.9997
Rc 10.644 0.2834 0.0058 10.1032 11.209 2253.1274 0.9997
w_n_t_1 0.0342 0.0875 0.0016 -0.1355 0.2003 3110.2823 0.9997
w_a_t_1 -0.6797 0.0959 0.0017 -0.8641 -0.4855 4314.2357 1.0005
w_d_t_1 3.0966 992.2063 17.0971 -2056.7456 1805.4434 4172.476 0.9997
w_c_t_1 9.2048 0.5691 0.0145 8.1011 10.3151 1440.3642 0.9999
y_c_t_1 3.5923 0.4696 0.0115 2.6972 4.5363 1660.886 1.0002
Node -0.9371 0.1364 0.0026 -1.1941 -0.6612 2239.6942 1.0004
Under_Supply -3.7418 0.2397 0.0063 -4.1835 -3.2586 1275.3371 1.0002
Flow 2.857 0.3391 0.0082 2.2228 3.5337 1481.3388 0.9998
Arc -0.4299 0.1173 0.0022 -0.6508 -0.1978 2510.8496 0.9998
