 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -3.7785 0.2431 0.0048 -4.2251 -3.2732 2430.5876 0.9999
Rc 8.8349 0.2236 0.0039 8.4007 9.2644 3109.9493 0.9997
w_n_t_1 0.9002 0.1787 0.0031 0.5762 1.2624 3048.0132 0.9997
w_a_t_1 3.2752 0.1263 0.0026 3.0505 3.538 2354.247 0.9997
w_d_t_1 -6.4555 1004.4676 17.3354 -1967.8612 1959.8659 3742.5229 0.9997
w_c_t_1 -0.4078 0.3588 0.0076 -1.0924 0.3198 2116.9859 0.9998
y_c_t_1 -0.3177 0.3104 0.0056 -0.9476 0.2736 2471.255 0.9997
Node -2.5209 0.1548 0.0033 -2.8233 -2.2198 2113.0279 1.0008
Under_Supply -6.0473 0.204 0.005 -6.4503 -5.6551 1655.7051 1.0006
Flow 2.9879 0.2892 0.0064 2.4364 3.5461 1824.7281 1.0003
Arc -1.3844 0.1241 0.0024 -1.622 -1.1403 2799.7465 1.0001
