 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -32.017 0.9833 0.0256 -33.8877 -30.1456 1462.7241 1.0013
Rc 23.0351 0.7585 0.0177 21.624 24.5817 1896.7423 1.0015
w_n_t_1 -1.7959 0.1802 0.0037 -2.138 -1.4332 2474.7537 1.0008
w_a_t_1 -0.0615 0.1838 0.0032 -0.431 0.2811 3475.0412 1.0
w_d_t_1 -1.8364 0.2389 0.0047 -2.3255 -1.3968 2582.9138 0.9999
w_c_t_1 27.1822 1.1074 0.0275 24.9385 29.2326 1692.6633 1.0017
y_c_t_1 10.3632 0.7157 0.0165 9.0417 11.8435 2133.6299 1.0
Node -5.7292 0.453 0.0116 -6.6595 -4.8786 1495.7907 1.0009
Under_Supply -11.0336 0.6838 0.0182 -12.3853 -9.7443 1282.9382 1.0002
Flow 4.9061 0.8719 0.023 3.2822 6.6641 1465.2348 1.0011
Arc -1.3226 0.2401 0.0053 -1.8004 -0.8754 2108.0296 0.9998
