 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -3.902 0.2252 0.0042 -4.3463 -3.467 2438.1129 0.9997
Rc 13.4245 0.3532 0.0067 12.7541 14.1324 2349.4817 0.9997
w_n_t_1 1.5691 0.1164 0.0023 1.3389 1.7928 2453.4387 0.9997
w_a_t_1 3.5265 0.119 0.0027 3.3012 3.7666 1757.4755 0.9999
w_d_t_1 -0.8204 0.0723 0.0015 -0.9593 -0.6798 2115.3491 0.9997
w_c_t_1 1.2968 0.3834 0.0088 0.5837 2.0529 1791.44 0.9997
y_c_t_1 -1.3623 0.391 0.0088 -2.1374 -0.6003 1909.2295 0.9997
Node -2.4569 0.1761 0.004 -2.7812 -2.1118 2003.2888 0.9997
Under_Supply -9.2544 0.2919 0.0079 -9.8375 -8.7054 1426.9015 0.9997
Flow 4.1273 0.3793 0.0095 3.4351 4.8877 1753.2982 0.9997
Arc -0.8847 0.137 0.0032 -1.1715 -0.6356 1971.192 0.9997
