 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -0.7746 0.1867 0.0038 -1.1298 -0.4052 2058.2446 0.9998
Rc 11.0996 0.2288 0.0044 10.6542 11.5609 2787.5627 1.0016
w_n_t_1 0.5957 0.0794 0.0013 0.443 0.76 3135.1527 0.9999
w_a_t_1 2.6326 0.0673 0.0013 2.5029 2.7672 2384.2705 1.0025
w_d_t_1 -15.0226 988.6509 17.5724 -2085.4148 1914.7675 3003.1866 1.0
w_c_t_1 -1.1591 0.4445 0.0098 -2.0532 -0.3312 1701.4529 1.0003
y_c_t_1 -0.565 0.3998 0.0085 -1.3583 0.2223 1862.3215 1.0014
Node -1.1572 0.109 0.0019 -1.3706 -0.9464 2872.5561 1.0
Under_Supply -6.1894 0.1786 0.004 -6.5275 -5.8367 1808.1781 1.0
Flow 0.9812 0.1665 0.0034 0.6595 1.3119 2541.7096 0.9997
Arc -0.2986 0.089 0.0014 -0.4816 -0.1299 2976.4632 0.9999
