 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -17.2958 0.5127 0.0123 -18.2414 -16.2016 1745.9856 0.9997
Rc 16.5885 0.5525 0.0121 15.5235 17.6909 1920.512 0.9997
w_n_t_1 -0.151 0.1203 0.0024 -0.3819 0.0783 2790.5832 0.9997
w_a_t_1 0.5016 0.1245 0.0025 0.2584 0.7401 2426.4358 0.9998
w_d_t_1 -1.8682 0.2326 0.0046 -2.304 -1.388 2855.0786 0.9997
w_c_t_1 16.6605 0.7988 0.0206 15.1157 18.1536 1442.2267 0.9997
y_c_t_1 2.669 0.5679 0.0131 1.5709 3.7388 1708.8346 0.9997
Node -2.7524 0.3287 0.0084 -3.381 -2.1047 1428.9578 0.9999
Under_Supply -7.0652 0.4914 0.0133 -7.9407 -6.0644 1107.9527 0.9997
Flow 1.6021 0.7187 0.0201 0.164 2.9266 1109.3188 0.9997
Arc -1.0143 0.1986 0.0045 -1.4074 -0.6294 1732.5043 1.0002
