 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -26.59 0.8071 0.0213 -28.275 -25.1179 1352.6904 1.0
Rc 20.1551 0.6153 0.0129 18.9354 21.286 2042.8319 0.9998
w_n_t_1 -0.5106 0.1409 0.0028 -0.7733 -0.229 2500.2549 0.9997
w_a_t_1 0.6851 0.1448 0.0026 0.4147 0.9876 2837.2806 0.9998
w_d_t_1 -11.4633 996.4405 18.3715 -1876.506 1900.9149 3313.9541 0.9997
w_c_t_1 23.208 0.9916 0.0251 21.21 25.0041 1457.8332 0.9999
y_c_t_1 6.2536 0.6491 0.0148 4.9932 7.5251 1774.0488 0.9998
Node -4.5148 0.3963 0.0106 -5.2675 -3.7227 1321.1844 0.9997
Under_Supply -9.9995 0.5885 0.0166 -11.2025 -8.9043 1072.8275 0.9997
Flow 2.9054 0.7775 0.0214 1.3749 4.4522 1183.0086 0.9997
Arc -0.8621 0.2304 0.0048 -1.305 -0.398 1907.5808 0.9997
