 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -30.1793 0.857 0.022 -31.9115 -28.6027 1615.9189 1.0012
Rc 19.9711 0.6493 0.0152 18.6807 21.1969 1867.5248 1.0008
w_n_t_1 -1.6355 0.179 0.0033 -1.9702 -1.2805 2748.0589 0.9998
w_a_t_1 0.4112 0.1667 0.0028 0.1037 0.7591 2745.4302 1.0
w_d_t_1 -1.9733 1022.9261 17.5855 -1968.5376 2069.1432 3958.1554 0.9997
w_c_t_1 27.7243 1.0641 0.0262 25.5306 29.673 1729.8885 1.0013
y_c_t_1 5.9965 0.6803 0.014 4.6933 7.3649 2028.3045 0.9997
Node -4.5017 0.3964 0.0083 -5.2533 -3.7048 1796.8243 0.9998
Under_Supply -8.9137 0.5958 0.0145 -10.0041 -7.6754 1479.7035 1.0
Flow 3.9368 0.802 0.0194 2.3898 5.4551 1525.5204 0.9999
Arc -1.0478 0.229 0.0048 -1.5237 -0.6254 2107.1229 0.9997
