 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -6.8968 0.2692 0.006 -7.4426 -6.3732 2139.8 0.9997
Rc 14.381 0.3621 0.0075 13.6662 15.0615 2089.8357 1.0005
w_n_t_1 1.9504 0.1317 0.0023 1.693 2.2088 3245.8165 0.9997
w_a_t_1 4.2593 0.1443 0.0034 3.9852 4.5531 1992.6129 0.9998
w_d_t_1 -12.784 979.0749 18.0333 -1926.5591 1897.1007 2951.6561 0.9997
w_c_t_1 6.1145 0.6107 0.0158 4.9728 7.3698 1425.783 0.9997
y_c_t_1 -3.3066 0.4928 0.0115 -4.2162 -2.2825 1700.8074 0.9997
Node -2.1516 0.1725 0.0038 -2.5113 -1.8309 2031.6129 0.9999
Under_Supply -9.2145 0.3018 0.0071 -9.8279 -8.6664 1573.0207 0.9997
Flow 3.6637 0.3804 0.0093 2.9126 4.3774 1633.4124 1.0002
Arc -1.0399 0.1367 0.0028 -1.303 -0.7788 2641.738 0.9998
