 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -18.3692 0.5183 0.0123 -19.3766 -17.3438 1724.7282 0.9997
Rc 17.1304 0.4911 0.0108 16.174 18.0747 2035.572 0.9997
w_n_t_1 0.532 0.1867 0.0034 0.1627 0.879 2771.3553 0.9998
w_a_t_1 2.0601 0.1554 0.0033 1.7617 2.369 2194.6507 0.9999
w_d_t_1 2.4596 1011.6773 18.3253 -1963.862 1958.4951 2641.1182 1.0004
w_c_t_1 14.1653 0.8955 0.0234 12.4022 15.9339 1379.1768 0.9998
y_c_t_1 3.4046 0.7264 0.0177 1.9933 4.8175 1638.4058 0.9999
Node -3.4093 0.2806 0.0063 -3.9671 -2.8831 1523.8647 0.9999
Under_Supply -9.0065 0.4425 0.0119 -9.9155 -8.192 1186.4353 1.0006
Flow 3.8015 0.6118 0.0151 2.6323 4.9881 1250.1911 1.0002
Arc -1.3001 0.1753 0.0038 -1.6544 -0.9791 2270.6119 1.0
