 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -10.8439 0.3451 0.0074 -11.552 -10.2325 1969.8366 1.0
Rc 15.5293 0.4629 0.0086 14.6616 16.4749 2893.979 0.9998
w_n_t_1 0.2294 0.1624 0.0027 -0.0875 0.5468 2910.8933 0.9997
w_a_t_1 2.3067 0.1447 0.0027 2.034 2.5916 2818.1119 1.0009
w_d_t_1 -18.6288 1007.5477 16.3211 -1950.4885 1911.138 3708.9377 0.9999
w_c_t_1 10.6579 0.6073 0.0135 9.423 11.808 1979.2216 1.0002
y_c_t_1 -0.5125 0.469 0.0097 -1.4008 0.4109 2151.4115 1.0006
Node -3.4952 0.2729 0.0061 -4.0108 -2.952 1643.2714 0.9998
Under_Supply -10.5573 0.4166 0.0095 -11.4477 -9.7893 1505.5424 1.0
Flow 3.9022 0.6205 0.0155 2.6419 5.1117 1285.9189 0.9997
Arc -1.5511 0.1807 0.0033 -1.9003 -1.2043 2424.0997 0.9997
