 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -16.5802 0.4609 0.0109 -17.4903 -15.6689 1682.9892 1.0004
Rc 0.6365 0.2207 0.0054 0.2324 1.0905 1675.974 0.9997
w_n_t_1 -3.7172 0.1344 0.0025 -3.98 -3.46 2806.1482 0.9997
w_a_t_1 1.0621 0.124 0.0024 0.8169 1.2911 2878.1618 0.9997
w_d_t_1 -20.3927 986.323 18.1599 -1972.5739 1928.5046 3122.5865 0.9998
w_c_t_1 24.2246 0.787 0.0206 22.6784 25.6931 1417.3042 1.0007
y_c_t_1 -12.7715 0.6123 0.0149 -13.9223 -11.5469 1788.2615 1.0
Node -1.2498 0.2811 0.0069 -1.8072 -0.6899 1816.2584 1.0014
Under_Supply -0.1783 0.3387 0.0086 -0.8197 0.4961 1417.065 1.0016
Flow 4.5529 0.5168 0.0144 3.5445 5.5365 1382.6938 1.0
Arc 1.7391 0.2292 0.0048 1.2725 2.1747 1976.3131 0.9997
