 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -12.893 0.3666 0.0089 -13.6002 -12.1604 1745.183 1.0
Rc 4.2188 0.1689 0.004 3.8803 4.5405 1555.2705 1.0024
w_n_t_1 0.2476 0.1453 0.0031 -0.0221 0.5437 2274.2274 0.9998
w_a_t_1 1.417 0.1222 0.0023 1.2023 1.6924 2429.3929 0.9997
w_d_t_1 -28.7835 1004.9287 15.6718 -1969.1259 1984.0033 3222.9285 0.9997
w_c_t_1 9.2275 0.7486 0.0225 7.8273 10.6771 1042.4612 0.9999
y_c_t_1 -3.0271 0.6032 0.0155 -4.1836 -1.8858 1404.8289 0.9997
Node -0.7279 0.2094 0.0053 -1.1632 -0.3522 1823.3613 0.9999
Under_Supply -0.0321 0.2705 0.0084 -0.5663 0.4972 814.7084 1.0031
Flow 3.4705 0.3949 0.0116 2.7416 4.2681 1100.0378 1.0023
Arc 1.4182 0.1742 0.0036 1.0932 1.7822 2181.6938 1.0012
