 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -3.5716 0.208 0.0039 -3.9731 -3.1609 2738.7051 0.9997
Rc 13.5314 0.355 0.0072 12.8501 14.2252 2154.5458 1.0004
w_n_t_1 0.6509 0.1074 0.002 0.432 0.8508 2809.0862 0.9997
w_a_t_1 3.0938 0.1103 0.0022 2.8771 3.3111 2075.6168 1.0002
w_d_t_1 -1.0093 0.1856 0.0032 -1.3821 -0.6595 3041.2442 0.9998
w_c_t_1 1.6323 0.3435 0.0069 0.9472 2.2826 2188.1699 0.9997
y_c_t_1 -0.6526 0.3277 0.0067 -1.3127 -0.0107 2409.3685 0.9997
Node -2.2253 0.1584 0.0032 -2.5058 -1.9006 2294.0199 0.9997
Under_Supply -8.0396 0.2719 0.0065 -8.5879 -7.5204 1839.2332 1.0005
Flow 3.0041 0.3299 0.0073 2.3525 3.6385 1892.665 0.9998
Arc -0.9128 0.1213 0.0025 -1.1625 -0.6912 2416.6158 1.0014
