 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -2.2684 0.1381 0.0026 -2.5453 -2.0141 2600.407 1.0004
Rc 12.4971 0.2573 0.0051 12.0083 13.0168 2299.0267 1.0019
w_n_t_1 1.3793 0.103 0.0017 1.1739 1.5682 2924.0156 0.9999
w_a_t_1 2.7823 0.1049 0.0023 2.5764 2.9866 1761.3071 1.0006
w_d_t_1 -32.6699 985.3306 17.8085 -1819.5466 1962.3792 2785.8697 1.0002
w_c_t_1 1.3353 0.3347 0.0065 0.6811 1.9933 1876.667 1.0008
y_c_t_1 -2.5946 0.3294 0.0068 -3.2691 -1.9765 1887.6332 1.0011
Node -1.3507 0.1145 0.0022 -1.569 -1.1199 2298.9312 0.9997
Under_Supply -6.7962 0.172 0.0039 -7.1149 -6.4453 1822.1287 0.9998
Flow 1.8551 0.2065 0.0047 1.4404 2.2352 1991.149 1.0001
Arc -0.3992 0.0952 0.0017 -0.5789 -0.2091 2423.5403 1.0002
