 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -7.8607 0.2696 0.0052 -8.378 -7.3481 2198.8613 1.0
Rc 14.2936 0.3954 0.0067 13.5396 15.0752 2735.4489 0.9999
w_n_t_1 2.0599 0.1535 0.0027 1.7614 2.3584 2771.4006 0.9999
w_a_t_1 2.4429 0.1436 0.003 2.1792 2.7298 2468.395 1.0
w_d_t_1 7.1388 1021.0428 19.8013 -2047.0897 1958.4086 3201.3892 1.0006
w_c_t_1 4.088 0.4913 0.0105 3.1621 5.036 2008.4089 0.9997
y_c_t_1 1.1801 0.4137 0.009 0.37 1.9741 2311.1191 0.9997
Node -3.1055 0.2189 0.0044 -3.5508 -2.7126 2069.5898 0.9999
Under_Supply -10.0783 0.3486 0.0075 -10.7913 -9.4223 1647.9707 1.0002
Flow 3.4936 0.5012 0.0099 2.4763 4.4469 1734.6324 1.0003
Arc -1.1313 0.1564 0.003 -1.4191 -0.8293 2585.7802 0.9998
