 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -0.8698 0.1751 0.0043 -1.2268 -0.5446 1372.5447 0.9997
Rc 11.8709 0.2527 0.0051 11.3955 12.3819 2337.8224 0.9999
w_n_t_1 1.6126 0.082 0.0016 1.4482 1.771 2542.7484 0.9997
w_a_t_1 3.1344 0.0928 0.002 2.9548 3.3133 2111.2846 0.9998
w_d_t_1 -18.9886 1035.1279 18.2923 -1938.3591 2096.6499 3449.2162 0.9999
w_c_t_1 -1.4214 0.4099 0.011 -2.2109 -0.637 1277.4218 0.9998
y_c_t_1 -1.3749 0.3668 0.0087 -2.1053 -0.7144 1762.7685 0.9999
Node -0.764 0.1 0.0023 -0.9613 -0.576 1927.4407 0.9999
Under_Supply -5.289 0.1766 0.0046 -5.618 -4.9295 1237.5942 0.9997
Flow 1.473 0.1385 0.0028 1.1976 1.7384 2133.0646 0.9997
Arc 0.0408 0.0863 0.0019 -0.1192 0.2166 1919.901 0.9999
