 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -4.7802 0.2689 0.0052 -5.2923 -4.2441 2762.0591 1.0003
Rc 15.1822 0.4351 0.0084 14.3067 16.0109 2512.3383 0.9999
w_n_t_1 0.2347 0.1155 0.0019 0.0166 0.4697 3137.1374 0.9998
w_a_t_1 2.035 0.1012 0.0018 1.8414 2.2438 2908.695 0.9998
w_d_t_1 -0.801 0.069 0.0013 -0.9416 -0.6676 3190.1884 0.9998
w_c_t_1 1.371 0.4019 0.0074 0.6136 2.178 2115.8253 1.0014
y_c_t_1 2.282 0.3844 0.0071 1.5655 3.07 2357.214 1.0006
Node -3.9083 0.2127 0.0047 -4.3071 -3.4809 1971.7558 0.9997
Under_Supply -12.7968 0.395 0.0098 -13.5913 -12.0532 1607.902 0.9997
Flow 6.6432 0.5488 0.0138 5.547 7.6903 1556.3693 0.9997
Arc -1.869 0.1562 0.0031 -2.1711 -1.573 2399.7248 1.0006
