 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -7.9499 0.7246 0.0168 -9.3912 -6.5688 1654.036 1.0002
Rc 2.4158 0.2885 0.0055 1.8502 2.9837 2530.134 1.0003
w_n_t_1 3.7435 0.4844 0.0102 2.8288 4.7071 2081.5803 1.0007
w_a_t_1 -0.4463 0.1895 0.0034 -0.788 -0.0396 2813.1512 1.0001
w_d_t_1 2.9169 1002.4894 17.2201 -1890.5876 1960.4334 3604.4531 1.0004
w_c_t_1 -3.7496 1.3577 0.0351 -6.3916 -1.0945 1381.1963 0.9997
y_c_t_1 2.7706 1.2167 0.0278 0.4218 5.1158 1602.9934 0.9997
Node 0.9798 0.3278 0.0063 0.3469 1.6219 2958.5509 1.0005
Under_Supply -0.1149 0.4982 0.0125 -1.0744 0.8872 1441.6099 0.9999
Flow -0.913 0.5495 0.0119 -1.932 0.1902 2028.7246 1.0002
Arc 0.7274 0.2809 0.006 0.1643 1.2487 2233.2089 0.9997
