 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -1.9513 0.1919 0.0043 -2.3157 -1.5677 1716.291 0.9999
Rc 13.971 0.339 0.0064 13.3524 14.663 2893.6691 0.9998
w_n_t_1 0.421 0.0701 0.0013 0.2869 0.5634 2976.1835 1.0005
w_a_t_1 0.8549 0.0748 0.0018 0.7168 1.0021 1939.293 0.9999
w_d_t_1 27.0664 1010.4221 18.5083 -2069.2149 1892.6542 3313.3862 0.9997
w_c_t_1 1.2163 0.4118 0.0119 0.3965 2.0283 1357.6471 0.9997
y_c_t_1 0.0955 0.3933 0.012 -0.7604 0.7922 1170.0032 0.9997
Node -0.1555 0.0797 0.0017 -0.3194 -0.0074 1839.812 1.0033
Under_Supply -2.5665 0.1913 0.0044 -2.9317 -2.1957 1679.9352 0.9999
Flow 1.2157 0.1074 0.0021 1.0153 1.4284 2360.6821 1.0003
Arc 0.1967 0.0722 0.0014 0.0557 0.3317 2689.3934 1.0007
